100,polykatoikia,autonomh,1,1,1937,Proin,"nonummy ultricies ornare,"
496,polykatoikia,autonomh,2,5,1921,"Nullam suscipit,",est. Nunc
892,polykatoikia,kentrikh,3,2,1965,"non,",tempus mauris erat
991,monokatoikia,kentrikh,1,9,1985,feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque.,"fermentum risus, at fringilla purus mauris a nunc. In"
1189,polykatoikia,kentrikh,2,1,1980,"luctus, ipsum leo elementum",augue. Sed molestie.
2080,polykatoikia,autonomh,4,1,1908,velit. Sed,"dictum ultricies ligula. Nullam enim. Sed nulla ante,"
2179,monokatoikia,kentrikh,3,10,1972,"vulputate, nisi sem semper erat, in","porttitor vulputate, posuere vulputate, lacus. Cras interdum."
2476,monokatoikia,autonomh,5,8,1999,sem ut cursus,Integer aliquam adipiscing lacus. Ut nec urna
2575,polykatoikia,kentrikh,5,5,1953,"orci, consectetuer euismod est arcu ac",neque. Morbi quis
2674,monokatoikia,autonomh,2,1,2010,orci. Phasellus dapibus quam quis diam.,"pede, nonummy ut,"
